gene_idx,frame,action_id,action_name,mario_x,mario_y,vel_x,vel_y,float_state,on_ground,delta_x
393,1572,8,Left+Run,2027,142,21,-1,1,0,5
394,1576,9,Right+Jump+Run,2033,143,24,0,1,0,6
395,1580,9,Right+Jump+Run,2039,149,24,2,1,0,6
396,1584,9,Right+Jump+Run,2045,161,24,3,1,0,6
397,1588,1,Right,2051,176,24,0,0,1,6
398,1592,4,Right+Jump,2057,160,24,-4,1,0,6
399,1596,0,NOOP,2063,148,24,-3,1,0,6
400,1600,9,Right+Jump+Run,2069,142,24,-1,1,0,6
401,1604,9,Right+Jump+Run,2075,143,24,0,1,0,6
402,1608,9,Right+Jump+Run,2081,149,24,2,1,0,6
403,1612,9,Right+Jump+Run,2087,161,24,3,1,0,6
404,1616,5,Left+Jump,2093,176,21,0,0,1,6
405,1620,5,Left+Jump,2097,176,17,0,0,1,4
406,1624,1,Right,2102,176,20,0,0,1,5
407,1628,9,Right+Jump+Run,2108,160,22,-4,1,0,6
408,1632,6,Run,2113,148,22,-3,1,0,5
409,1636,1,Right,2119,142,24,-1,1,0,6
410,1640,11,Down,2125,143,24,0,1,0,6
411,1644,1,Right,2131,149,24,2,1,0,6
412,1648,7,Right+Run,2137,160,24,0,0,1,6
413,1652,2,Left,2142,160,19,0,0,1,5
414,1656,4,Right+Jump,2148,144,24,-4,1,0,6
415,1660,1,Right,2154,132,24,-3,1,0,6
416,1664,1,Right,2160,126,24,-1,1,0,6
417,1668,6,Run,2166,127,24,0,1,0,6
418,1672,4,Right+Jump,2172,128,24,0,0,1,6
419,1676,1,Right,2178,128,24,0,0,1,6
420,1680,11,Down,2178,128,0,0,0,1,0
421,1684,9,Right+Jump+Run,2179,112,2,-4,1,0,1
422,1688,9,Right+Jump+Run,2179,99,4,-3,1,0,0
423,1692,9,Right+Jump+Run,2181,88,7,-3,1,0,2
424,1696,10,Left+Jump+Run,2182,79,4,-2,1,0,1
425,1700,4,Right+Jump,2184,71,7,-2,1,0,2
426,1704,7,Right+Run,2186,68,9,0,1,0,2
427,1708,6,Run,2188,72,9,2,1,0,2
428,1712,3,Jump,2190,82,9,3,1,0,2
429,1716,3,Jump,2192,99,9,4,1,0,2
430,1720,9,Right+Jump+Run,2195,112,11,0,0,1,3
431,1724,9,Right+Jump+Run,2198,112,15,0,0,1,3
432,1728,1,Right,2203,112,19,0,0,1,5
433,1732,2,Left,2207,113,14,0,2,0,4
434,1736,1,Right,2211,119,19,2,2,0,4
435,1740,9,Right+Jump+Run,2217,132,24,4,2,0,6
436,1744,7,Right+Run,2223,149,24,4,2,0,6
437,1748,8,Left+Run,2225,166,-1,4,2,0,2
438,1752,10,Left+Jump+Run,2225,176,-4,0,0,1,0
